group_id,decision,canonical_name,note
0_10_12_all_beef_broiled_end_eye_fat_fat_grades_lean_rib_ribs_separable_small_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_10_12_beef_choice_end_eye_fat_fat_lean_rib_ribs_separable_small_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_1_3_5_9_f_fat_flavoured_flax_from_fruit_low_m_omega_yogourt_yogurt__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_1_5_9_d_f_fat_flavoured_fortified_fruit_low_m_made_milk_vitamin_yogourt_yogurt__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_1_5_9_f_fat_flavoured_low_m_vanilla_yogourt_yogurt__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_1_fat_milk_skimmed__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_25_buttermilk_f_fluid_m_milk__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_2_eggnog_f_m__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_2_fat_flavoured_increased_intense_low_protein_sweetened_yoghurt__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_4_cheese_cottage_curd_dry_f_m_uncreamed__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_5_fat_flavoured_low_vanilla_yoghurt__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_5_fat_mince_turkey__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_6_9_all_beef_end_fat_grades_large_lean_only_rib_ribs_separable_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_ajout_aromatis_avec_blanc_cialit_dulcorants_fromage_laiti_mg_ou_re_s_sans_sp_sucres__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_ajout_avec_boisson_boisson_concentr_dans_de_dilu_diluer_dulcorants_e_e_e_eau_etc_fraise_l_menthe_par_partir_pr_s_sans_sirop_sucres_type_type__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_aliment_aromatis_aux_ferment_fruits_lait_mg_moyen_ou_ou_yaourt__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_america_beef_beef_boneless_chuck_eye_fat_fat_grades_lean_roast_roast_s_separable_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_america_beef_beef_boneless_chuck_eye_fat_fat_grades_lean_roast_roast_s_separable_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_aromatis_au_avec_boire_casei_dulcorants_en_ferment_g_l_lait_mg_sucres__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_back_beef_bone_fat_fat_grades_lean_rib_ribs_separable_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_blade_boneless_center_chuck_cut_denver_fat_fat_grades_lean_separable_steak_to_trimmed_under__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_blade_boneless_center_chuck_cut_denver_fat_fat_grades_lean_separable_steak_to_trimmed_under__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_blade_boneless_chuck_fat_grades_lean_only_or_pot_roast_separable_steak_to_trimmed_under__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_blade_boneless_chuck_fat_grades_lean_only_pot_roast_separable_to_trimmed_under__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_blade_boneless_fat_fat_grades_lean_separable_shoulder_steak_to_top_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_blade_boneless_fat_fat_grades_lean_separable_shoulder_steak_to_top_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_blade_broiled_chuck_fat_fat_grades_lean_separable_to_top_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_bone_broiled_fat_fat_grades_lean_loin_separable_short_steak_t_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_boneless_brisket_fat_fat_flat_grades_half_lean_separable_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_boneless_cap_fat_grades_lean_only_ribeye_separable_steak_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_boneless_chuck_country_eye_fat_fat_grades_lean_ribs_separable_style_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_boneless_chuck_country_eye_fat_fat_grades_lean_ribs_separable_style_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_boneless_chuck_fat_fat_grades_lean_mock_separable_steak_tender_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_boneless_chuck_fat_fat_grades_lean_mock_separable_steak_tender_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_boneless_eye_fat_fat_grades_lean_lip_off_rib_separable_steak_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_boneless_eye_fat_fat_grades_lean_lip_off_rib_separable_steak_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_boneless_fat_fat_grades_inside_lean_plate_separable_skirt_steak_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_boneless_fat_fat_grades_inside_lean_plate_separable_skirt_steak_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_boneless_fat_fat_grades_lean_loin_roast_separable_tenderloin_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_boneless_fat_fat_grades_lean_loin_roast_separable_tenderloin_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_boneless_fat_filet_grades_lean_loin_only_separable_sirloin_to_top_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_boneless_fat_filet_grades_lean_only_petite_ribeye_roast_separable_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_bottom_broiled_butt_fat_fat_grades_lean_loin_separable_sirloin_steak_tip_to_tri_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_bottom_fat_fat_grades_lean_outside_round_round_round_separable_steak_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_bottom_fat_fat_grades_lean_outside_round_round_round_separable_steak_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_bottom_fat_fat_grades_lean_roast_separable_sirloin_tip_to_tri_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_bottom_fat_grades_lean_only_roast_round_round_separable_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_brisket_fat_fat_flat_grades_half_lean_separable_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_brisket_fat_grades_lean_only_separable_to_trimmed_whole__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_broiled_fat_flank_grades_lean_only_separable_steak_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_center_fat_fat_grades_knuckle_lean_round_separable_steak_tip_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_center_fat_fat_grades_knuckle_lean_round_separable_steak_tip_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_composite_cuts_fat_fat_grades_lean_retail_separable_to_trimmed_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_all_beef_composite_cuts_fat_fat_grades_lean_retail_separable_to_trimmed_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_arm_beef_choice_chuck_fat_lean_only_pot_roast_separable_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_aromatis_avec_blanc_cialit_d_dulcorants_en_enrichi_fromage_laiti_mg_ou_re_sp_sucr_vitamine__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_aromatis_avec_d_dulcorants_en_enrichi_ferment_lait_mg_ou_vitamine_yaourt__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_au_aux_avec_bifidus_dulcorants_ferment_fruits_lait_mg_type_yaourt__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_au_aux_avec_calcium_dulcorants_e_en_enrichie_frais_frais_fromage_fruits_mg_mousse_rayon_sucr__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_au_bifidus_ferment_lait_mg_nature_type_yaourt__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_australian_bone_chop_denuded_fat_fat_frenched_imported_lamb_lean_rib_separable_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_aux_blanc_cialit_fromage_fruits_laiti_mg_ou_re_sp_sucr__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_blade_broiled_choice_chuck_fat_lean_only_separable_to_top_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_blade_choice_chuck_clod_fat_fat_lean_separable_shoulder_steak_to_top_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_brisket_choice_fat_flat_half_lean_only_separable_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_cap_choice_fat_lean_only_ribeye_separable_steak_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_choice_chuck_eye_fat_fat_lean_separable_steak_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_choice_chuck_fat_fat_lean_ribs_separable_short_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_choice_eye_fat_fat_lean_roast_round_round_separable_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_choice_eye_fat_fat_lean_roast_round_round_separable_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_choice_fat_fat_lean_lip_loin_loin_off_separable_steak_to_top_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_choice_fat_fat_lean_loin_separable_steak_tenderloin_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_choice_fat_fat_lean_outside_plate_separable_skirt_steak_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_choice_fat_filet_lean_only_ribeye_separable_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_chuck_eye_fat_fat_lean_select_separable_steak_to_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_chuck_fat_fat_lean_ribs_select_separable_short_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_eye_fat_fat_lean_round_round_select_separable_steak_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_fat_fat_lean_roast_round_round_select_separable_to_top_trimmed__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_boneless_fat_lean_loin_only_petite_roast_select_separable_sirloin_to_top_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_bottom_choice_fat_fat_lean_roast_separable_sirloin_tip_to_tri_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_beef_bottom_choice_fat_lean_only_round_round_separable_steak_to_trimmed__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
